cliente_nome,cliente_final_id,mensagem,categoria_teste
"Studio J","maria_123","Oi quero agendar um corte para sabado","agendamento"
"Studio J","maria_123","Quanto custa uma morena iluminada?","preco"
"Studio J","ana_456","Preciso cancelar meu horario de amanha","cancelamento"
"Studio J","julia_789","Quais cuidados devo ter depois de pintar o cabelo?","rag_cuidados"
"Oficina Mendes","joao_111","Meu carro ja ta pronto?","status"
"Oficina Mendes","pedro_222","Quero fazer uma revisao preventiva","agendamento"
"Oficina Mendes","carlos_333","Voces fazem alinhamento?","servicos"
"Oficina Mendes","jose_444","Qual a garantia do servico?","rag_garantia"
"Casa com Alma","lucia_555","Meu pedido ja foi enviado?","status_pedido"
"Casa com Alma","fernanda_666","Voces tem almofadas de algodao?","rag_produtos"
"Casa com Alma","patricia_777","Qual o prazo de troca?","rag_politica"
"Consultorio Dra. Beatriz Almeida","roberto_888","Quero marcar uma consulta para avaliar manchas na pele","agendamento"
"Consultorio Dra. Beatriz Almeida","amanda_999","Voces aceitam convenio Bradesco?","rag_convenio"
"Consultorio Dra. Beatriz Almeida","marcos_000","Qual o valor da primeira consulta?","rag_preco"
"Marcos Eletricista","antonio_aaa","Preciso trocar um chuveiro quanto custa?","orcamento"
"Marcos Eletricista","silva_bbb","A luz da minha casa fica caindo pode vir ver?","visita_tecnica"
